observation_time,no2_concentration,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-15 05:00:00,5.0,29.0,84.0,14.0,225.0,997.0
2025-07-15 06:00:00,6.0,28.0,86.0,14.0,225.0,998.0
2025-07-15 07:00:00,8.0,29.0,85.0,10.0,225.0,998.0
2025-07-15 08:00:00,9.0,30.0,81.0,18.0,270.0,998.0
2025-07-15 09:00:00,8.0,30.0,76.0,20.0,225.0,998.0
2025-07-15 10:00:00,8.0,31.0,73.0,26.0,225.0,999.0
2025-07-15 11:00:00,8.0,31.0,75.0,16.0,225.0,999.0
2025-07-15 12:00:00,6.0,32.0,72.0,21.0,270.0,998.0
2025-07-15 13:00:00,6.0,33.0,71.0,12.0,225.0,998.0
2025-07-15 14:00:00,6.0,31.0,72.0,31.0,270.0,998.0
2025-07-15 15:00:00,8.0,29.0,80.0,10.0,270.0,997.0
2025-07-15 16:00:00,9.0,30.0,78.0,11.0,225.0,997.0
2025-07-15 17:00:00,10.0,30.0,77.0,13.0,225.0,996.0
2025-07-15 18:00:00,10.0,30.0,78.0,13.0,180.0,996.0
2025-07-15 19:00:00,7.0,30.0,75.0,14.0,180.0,996.0
2025-07-15 20:00:00,9.0,29.0,79.0,12.0,180.0,997.0
2025-07-15 21:00:00,7.0,29.0,80.0,11.0,225.0,997.0
2025-07-15 22:00:00,7.0,29.0,84.0,13.0,225.0,998.0
2025-07-15 23:00:00,6.0,29.0,83.0,10.0,180.0,998.0
2025-07-16 00:00:00,5.0,29.0,82.0,14.0,225.0,998.0
2025-07-16 01:00:00,5.0,29.0,83.0,15.0,180.0,999.0
2025-07-16 02:00:00,4.0,29.0,83.0,9.0,180.0,998.0
2025-07-16 03:00:00,4.0,28.0,84.0,15.0,225.0,997.0
2025-07-16 04:00:00,4.0,28.0,84.0,10.0,225.0,998.0
2025-07-16 05:00:00,4.0,28.0,85.0,6.0,225.0,998.0
2025-07-16 06:00:00,5.0,28.0,86.0,9.0,225.0,998.0
2025-07-16 07:00:00,6.0,29.0,84.0,8.0,225.0,999.0
2025-07-16 08:00:00,7.0,30.0,82.0,18.0,225.0,999.0
2025-07-16 09:00:00,6.0,31.0,74.0,16.0,180.0,1000.0
2025-07-16 10:00:00,7.0,31.0,73.0,14.0,225.0,1000.0
2025-07-16 11:00:00,7.0,33.0,69.0,18.0,225.0,1000.0
2025-07-16 12:00:00,6.0,31.0,74.0,20.0,225.0,999.0
2025-07-16 13:00:00,5.0,33.0,65.0,12.0,225.0,999.0
2025-07-16 14:00:00,5.0,35.0,63.0,13.0,45.0,998.0
2025-07-16 15:00:00,6.0,31.0,78.0,22.0,90.0,998.0
2025-07-16 16:00:00,6.0,32.0,73.0,11.0,135.0,997.0
2025-07-16 17:00:00,7.0,33.0,69.0,14.0,180.0,997.0
2025-07-16 18:00:00,7.0,32.0,70.0,9.0,180.0,997.0
2025-07-16 19:00:00,8.0,31.0,73.0,17.0,225.0,997.0
2025-07-16 20:00:00,10.0,30.0,78.0,14.0,180.0,998.0
2025-07-16 21:00:00,9.0,29.0,81.0,11.0,225.0,998.0
2025-07-16 22:00:00,7.0,29.0,80.0,22.0,225.0,998.0
2025-07-16 23:00:00,6.0,29.0,80.0,20.0,180.0,999.0
2025-07-17 00:00:00,5.0,29.0,82.0,6.0,225.0,999.0
2025-07-17 01:00:00,5.0,29.0,82.0,8.0,180.0,999.0
2025-07-17 02:00:00,5.0,29.0,84.0,11.0,180.0,998.0
2025-07-17 03:00:00,6.0,29.0,86.0,13.0,180.0,997.0
2025-07-17 04:00:00,6.0,29.0,86.0,7.0,225.0,997.0
2025-07-17 05:00:00,6.0,29.0,86.0,8.0,225.0,997.0
2025-07-17 06:00:00,6.0,28.0,87.0,7.0,225.0,998.0
2025-07-17 07:00:00,7.0,29.0,85.0,7.0,225.0,999.0
2025-07-17 08:00:00,6.0,30.0,79.0,9.0,180.0,999.0
2025-07-17 09:00:00,7.0,31.0,77.0,11.0,225.0,999.0
2025-07-17 10:00:00,7.0,32.0,73.0,7.0,270.0,999.0
2025-07-17 11:00:00,6.0,32.0,78.0,17.0,90.0,999.0
2025-07-17 12:00:00,6.0,32.0,75.0,17.0,135.0,999.0
2025-07-17 13:00:00,6.0,32.0,76.0,13.0,135.0,998.0
2025-07-17 14:00:00,7.0,32.0,75.0,17.0,90.0,998.0
2025-07-17 15:00:00,8.0,32.0,75.0,19.0,90.0,997.0
2025-07-17 16:00:00,8.0,33.0,75.0,13.0,90.0,996.0
2025-07-17 17:00:00,7.0,32.0,76.0,12.0,135.0,995.0
